Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
Peches Soda,Beverage,NA Beverage,3,16,0,0,0.3,2.98,48,47.7,,0.09
Petit Ours Rosé,Wine,PM Wine,32,2,0,0,0,32,64,64,,0.12
Placecards Hester & Cook,Retail,Retail Merch,12,1,0,0,0,12,12,12,,0.02
Pm Bumper Sticker,Retail,PM Merchandise,5,5,0,0,0,5,25,25,,0.05
PM Sweatshirt,Retail,PM Merchandise,58,3,0,0,35.5,59.17,213,177.5,,0.34
Pm tumbler,Retail,PM Merchandise,40,12,0,0,0,40,480,480,,0.91
Poggio Anima Montepulciano D'Abruzzo,Wine,PM Wine,22,2,0,0,0,22,44,44,,0.08
POMMERY MUSTARD,Retail,Retail Food,25,1,0,0,0,25,25,25,,0.05
Potter's Flat Breads,Retail,Retail Food,15,5,0,0,0,15,75,75,,0.14
Pra Morandina Valpolicella,Wine,PM Wine,33,5,0,0,0,33,165,165,,0.31
Pra Otto,Wine,PM Wine,22,2,0,0,0,22,44,44,,0.08
Ranger Station Candle,Retail,Retail Merch,40,27,0,0,0,40,1080,1080,,2.06
Resin Napkin Rings,Retail,Retail Merch,7,18,0,0,0,7,126,126,,0.24
Roast Beef Sandwich,Food,Soup & Sandwiches,13,20,0,0,1.3,12.94,260,258.7,,0.49
Roast Chicken Sandwich,Food,Soup & Sandwiches,13,115,0,0,19.5,12.83,1495,1475.5,,2.81
Roasted Chicken for two,Food,Frozen,28,15,0,0,0,27,405,405,,0.77
Root 42 Soda,Beverage,NA Beverage,3,5,0,0,0,3,15,15,,0.03
Root Beer Maine Root Soda,Beverage,NA Beverage,3,3,0,0,0,3,9,9,,0.02
Rosso Puglia,Wine,PM Wine,30,1,0,0,0,30,30,30,,0.06
Rotating Sandwich,Food,Soup & Sandwiches,13,105,0,0,18.2,12.83,1365,1346.8,,2.56
rotating - tandem,Coffee,Coffee,20,16,0,0,20,18.75,320,300,,0.57
Sandlands Red Table Wine,Wine,PM Wine,40,1,0,0,0,40,40,40,,0.08
Sausage - Blueberry,Retail,Frozen,30,5,0,0,0,30,150,150,,0.29
Sausage - Mild Pork,Retail,Frozen,24,4,0,0,0,24,96,96,,0.18
SHARE Everything Crackers,Retail,Retail Food,12,5,0,0,0,12,60,60,,0.11
SHARE Plainish Sourdough Crackers,Food,Retail Food,12,7,0,0,0,12,84,84,,0.16
SHARE Zaatar Crackers,Food,Retail Food,12,2,0,0,0,12,24,24,,0.05
Shell - Isatopia Card,Retail,Retail Merch,7,1,0,0,0,7,7,7,,0.01
Shepherd's Pie,Food,Frozen,38,20,0,0,0,38,760,760,,1.45
Shortrib,Food,Entrees,38,1,0,0,0,38,38,38,,0.07
